age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,depression_label
19.0,1.0,4.4,0.0,7.4,2.8,149.0,0.0,2.0,7.0,5.0,4.0,0
19.0,1.0,1.9,2.0,6.2,0.9,108.0,3.0,0.0,5.0,6.0,7.0,0
18.0,0.0,5.8,0.0,6.7,1.9,61.0,13.0,0.0,5.0,8.0,2.0,0
17.0,0.0,8.0,0.0,8.7,1.5,76.0,20.0,1.0,10.0,9.0,5.0,0
15.0,0.0,5.1,0.0,7.4,0.7,24.0,18.0,2.0,5.0,8.0,1.0,0
16.0,0.0,3.6,0.0,6.6,0.7,190.0,13.0,0.0,4.0,1.0,8.0,0
15.0,1.0,5.0,0.0,7.6,1.8,120.0,3.0,1.0,1.0,4.0,3.0,0
13.0,1.0,3.3,1.0,9.0,0.7,163.0,4.0,2.0,3.0,6.0,4.0,0
15.0,0.0,5.4,0.0,4.2,1.5,157.0,14.0,1.0,1.0,6.0,5.0,0
14.0,0.0,7.9,0.0,5.7,1.6,129.0,4.0,2.0,4.0,3.0,4.0,0
17.0,1.0,3.2,1.0,4.2,0.6,92.0,3.0,2.0,6.0,6.0,3.0,0
13.0,1.0,5.8,1.0,8.5,2.3,46.0,13.0,1.0,1.0,1.0,5.0,0
16.0,0.0,3.0,0.0,8.6,1.5,33.0,11.0,1.0,6.0,4.0,3.0,0
17.0,1.0,7.6,0.0,5.9,2.0,120.0,0.0,2.0,1.0,5.0,1.0,0
17.0,1.0,7.4,0.0,7.4,2.0,191.0,10.0,1.0,10.0,1.0,4.0,0
15.0,0.0,2.8,0.0,7.2,1.8,115.0,18.0,0.0,5.0,5.0,4.0,0
18.0,1.0,5.3,2.0,4.6,1.5,144.0,4.0,2.0,4.0,3.0,4.0,0
15.0,1.0,5.5,2.0,7.3,2.5,129.0,12.0,0.0,4.0,3.0,6.0,0
13.0,0.0,5.8,1.0,7.2,1.1,101.0,14.0,0.0,7.0,3.0,7.0,0
14.0,0.0,1.5,2.0,7.2,1.7,140.0,2.0,0.0,10.0,7.0,10.0,0
19.0,1.0,3.3,1.0,5.0,2.1,7.0,7.0,1.0,1.0,10.0,9.0,0
13.0,0.0,7.5,2.0,8.0,2.0,112.0,5.0,2.0,9.0,10.0,2.0,0
19.0,1.0,4.6,0.0,5.5,2.5,32.0,1.0,1.0,3.0,10.0,7.0,0
17.0,1.0,8.0,0.0,8.1,1.2,145.0,19.0,0.0,1.0,8.0,7.0,0
15.0,0.0,5.4,0.0,7.2,1.2,81.0,6.0,1.0,7.0,8.0,1.0,0
17.0,1.0,6.5,1.0,6.4,0.7,52.0,8.0,0.0,2.0,9.0,6.0,0
