age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,depression_label
16.0,1.0,7.5,1.0,7.8,1.3,60.0,0.0,2.0,4.0,5.0,8.0,0
16.0,1.0,3.4,1.0,7.8,2.8,26.0,17.0,2.0,6.0,6.0,4.0,0
18.0,1.0,4.6,1.0,6.8,1.5,6.0,3.0,2.0,5.0,10.0,2.0,0
16.0,0.0,8.0,0.0,8.1,2.5,109.0,10.0,2.0,4.0,5.0,7.0,0
17.0,0.0,6.6,1.0,5.3,1.1,12.0,10.0,2.0,1.0,10.0,7.0,0
17.0,1.0,5.0,1.0,7.3,1.9,26.0,14.0,1.0,8.0,9.0,9.0,0
14.0,0.0,5.1,0.0,6.3,1.6,109.0,15.0,2.0,7.0,2.0,7.0,0
15.0,0.0,6.2,1.0,6.3,1.7,125.0,8.0,1.0,9.0,6.0,2.0,0
19.0,0.0,2.9,2.0,4.0,0.5,9.0,18.0,1.0,7.0,6.0,3.0,0
15.53670448940072,1.0,7.353670448940072,0.2683522447003598,4.448857918110468,2.1536704489400718,187.53670448940073,14.0,0.5367044894007196,9.194943265898921,9.73164775529964,2.610113468202159,1
13.0,0.0,3.1,1.0,5.4,1.9,78.0,14.0,0.0,7.0,4.0,2.0,0
17.0,0.0,1.7,2.0,7.0,0.8,173.0,7.0,1.0,7.0,7.0,10.0,0
18.0,0.0,6.0,2.0,6.1,0.9,170.0,11.0,2.0,2.0,10.0,10.0,0
16.0,1.0,4.3,0.0,6.0,1.4,88.0,10.0,0.0,8.0,7.0,4.0,0
19.0,0.0,2.1,2.0,5.6,2.4,85.0,19.0,1.0,9.0,3.0,4.0,0
18.0,0.0,2.9,1.0,7.5,0.6,190.0,19.0,1.0,4.0,7.0,4.0,0
18.222479864020507,0.0,6.688991945608203,1.0,4.6360660237964115,1.9695539422087158,28.69322064590259,8.05619966005127,0.805619966005127,8.611239932010253,9.805619966005127,4.360660237964112,1
19.0,1.0,1.1,1.0,5.1,2.2,145.0,7.0,0.0,7.0,7.0,2.0,0
15.0,1.0,7.4,2.0,8.4,1.9,178.0,1.0,1.0,9.0,9.0,4.0,0
16.0,1.0,3.6,1.0,8.8,1.2,116.0,12.0,0.0,2.0,4.0,5.0,0
15.684233026512157,1.0,6.1525708284171765,1.3157669734878432,4.74207376288298,1.4368466053024314,144.63153394697568,12.263067893951373,1.0,7.631533946975686,7.0,8.421165132560784,1
17.0,1.0,2.2,2.0,7.2,0.5,19.0,9.0,2.0,10.0,4.0,8.0,0
16.0,0.0,5.1,1.0,4.6,1.1,83.0,0.0,2.0,6.0,3.0,6.0,0
15.773824883145467,0.2579416277151556,7.6452350233709065,1.7420583722848444,4.406353302172125,1.9194408605993911,38.805591394006086,3.5476497662909336,0.0,9.48411674456969,7.257941627715155,7.710291861424222,1
18.0,0.0,2.5,1.0,4.6,2.2,167.0,5.0,2.0,9.0,5.0,10.0,0
19.0,0.0,2.1,0.0,8.8,2.3,40.0,9.0,1.0,5.0,5.0,3.0,0
14.0,1.0,3.9,2.0,7.0,2.8,56.0,15.0,0.0,8.0,2.0,8.0,0
13.0,0.0,1.5,2.0,4.2,1.4,14.0,12.0,1.0,4.0,5.0,8.0,0
17.12522736082012,0.4686931597949703,7.840607947938492,0.9373863195899406,4.903039739692455,1.9906988922665387,148.1252273608201,16.06261368041006,0.4686931597949703,8.46869315979497,8.06261368041006,4.46869315979497,1
16.0,0.0,4.9,0.0,5.7,1.2,166.0,15.0,2.0,8.0,2.0,1.0,0
16.0,0.0,2.5,0.0,6.8,1.0,8.0,19.0,1.0,3.0,9.0,9.0,0
