Experimento;Data;Neuronios Ocultos;Learning Rate;Max Iterations;Error Rate;Threshold;Oversampling;Acuracia (%);Precisao (%);Recall (%);F1-Score (%);VP;VN;FP;FN
1;29/05/2026 18:36:24;16;0.0010;1000;0.0100;0.2000;3;99.17;88.89;88.89;88.89;8;230;1;1
2;29/05/2026 18:47:35;16;0.0010;1000;0.0100;0.2000;3;97.92;75.00;66.67;70.59;6;229;2;3
3;29/05/2026 18:48:21;4;0.0010;1000;0.0100;0.2000;3;97.50;63.64;77.78;70.00;7;227;4;2
4;29/05/2026 19:48:10;16;0.0010;1000;0.0100;0.2000;3;99.58;90.00;100.00;94.74;9;230;1;0
5;29/05/2026 19:48:17;16;0.0010;1000;0.0100;0.2000;3;98.75;87.50;77.78;82.35;7;230;1;2
6;29/05/2026 19:48:34;24;0.0010;1000;0.0100;0.2000;3;98.75;87.50;77.78;82.35;7;230;1;2
7;31/05/2026 16:22:16;16;0.0010;1000;0.0100;0.2000;3;97.92;70.00;77.78;73.68;7;228;3;2
8;31/05/2026 16:22:39;16;0.0010;1000;0.0100;0.2000;3;98.33;85.71;66.67;75.00;6;230;1;3
9;31/05/2026 16:22:45;16;0.0010;1000;0.0100;0.2000;3;98.75;87.50;77.78;82.35;7;230;1;2
10;31/05/2026 16:22:51;16;0.0010;1000;0.0100;0.2000;3;98.33;72.73;88.89;80.00;8;228;3;1
11;31/05/2026 16:30:57;16;0.0010;1000;0.0100;0.2000;3;98.33;72.73;88.89;80.00;8;228;3;1
